id,slug,title,column,old_value,new_value
"delhi-govt-play-and-progress-scheme","delhi-govt-play-and-progress-scheme","Delhi Government Play and Progress Scheme","verified_status","Official","Verified"
"harrison-state-sports-scholarship-scheme","harrison-state-sports-scholarship-scheme","Haryana State Sports Scholarship Scheme","verified_status","Official","Verified"
"chandigarh-sports-department-scholarship","chandigarh-sports-department-scholarship","Chandigarh Sports Department Scholarship","verified_status","Official","Verified"
"bihar-state-sports-authority-scholarship","bihar-state-sports-authority-scholarship","Bihar State Sports Authority (BSSA) Sports Scholarship","verified_status","Official","Verified"
"anjum-chopra-sports-scholarship","anjum-chopra-sports-scholarship","Anjum Chopra Sports Scholarship","verified_status","Official","Verified"
"m3m-foundation-lakshya-scholarship","m3m-foundation-lakshya-scholarship","M3M Foundation Lakshya Scholarship","verified_status","Official","Verified"
"simply-sport-girls-education-scholarship","simply-sport-girls-education-scholarship","Simply Sport Girls Education and Sports Scholarship","verified_status","Official","Verified"
"25","post-matric-scholarship-for-persons-with-disabilities-udid-karnataka","Post-Matric Scholarship for Persons with Disabilities - UDID (Karnataka)","amount_annual","NULL","20000"
"25","post-matric-scholarship-for-persons-with-disabilities-udid-karnataka","Post-Matric Scholarship for Persons with Disabilities - UDID (Karnataka)","amount_min","NULL","2500"
"25","post-matric-scholarship-for-persons-with-disabilities-udid-karnataka","Post-Matric Scholarship for Persons with Disabilities - UDID (Karnataka)","amount_description","","Financial assistance towards tuition fee, maintenance allowance, and special allowances for PwD/UDID card holders under SSP Karnataka. Rates vary by educational level."
"30","pre-matric-st-students-karnataka","Pre-Matric ST Students (Karnataka)","amount_annual","NULL","3000"
"30","pre-matric-st-students-karnataka","Pre-Matric ST Students (Karnataka)","amount_min","NULL","1500"
"30","pre-matric-st-students-karnataka","Pre-Matric ST Students (Karnataka)","amount_description","","Day scholars receive ₹1,500 per year; Hostellers receive ₹3,000 per year."
"32","pre-matric-minorities-karnataka","Pre-Matric Minorities (Karnataka)","amount_annual","NULL","10000"
"32","pre-matric-minorities-karnataka","Pre-Matric Minorities (Karnataka)","amount_min","NULL","1000"
"32","pre-matric-minorities-karnataka","Pre-Matric Minorities (Karnataka)","amount_description","","Class 1-5 receives ₹1,000 per year. Class 6-10 receives up to ₹5,000 per year for day scholars, and up to ₹10,000 per year for hostellers."
"33","pre-matric-pwdudid-karnataka","Pre-Matric PWD/UDID (Karnataka)","amount_annual","NULL","5000"
"33","pre-matric-pwdudid-karnataka","Pre-Matric PWD/UDID (Karnataka)","amount_min","NULL","1000"
"33","pre-matric-pwdudid-karnataka","Pre-Matric PWD/UDID (Karnataka)","amount_description","","Financial assistance of ₹1,000 to ₹5,000 per year for students with disabilities studying in classes 1 to 10."
"central-sector-scholarship-kerala-applicants-via-dce","central-sector-scholarship-kerala-applicants-via-dce","Central Sector Scholarship (Kerala applicants via DCE)","amount_annual","NULL","20000"
"central-sector-scholarship-kerala-applicants-via-dce","central-sector-scholarship-kerala-applicants-via-dce","Central Sector Scholarship (Kerala applicants via DCE)","amount_min","NULL","12000"
"central-sector-scholarship-kerala-applicants-via-dce","central-sector-scholarship-kerala-applicants-via-dce","Central Sector Scholarship (Kerala applicants via DCE)","amount_description","NULL","₹12,000 per annum for undergraduate studies (first three years) and ₹20,000 per annum for postgraduate studies."
"pragyan-bharati-scheme","pragyan-bharati-scheme","Pragyan Bharati Scheme","amount_annual","NULL","2000"
"pragyan-bharati-scheme","pragyan-bharati-scheme","Pragyan Bharati Scheme","amount_min","NULL","0"
"pragyan-bharati-scheme","pragyan-bharati-scheme","Pragyan Bharati Scheme","amount_description","NULL","Textbook grant of ₹2,000 per year, hostel mess subsidy of ₹1,000 per month, and complete admission fee waiver at colleges in Assam."
"irdp-scholarship","irdp-scholarship","IRDP Scholarship","amount_annual","NULL","1200"
"irdp-scholarship","irdp-scholarship","IRDP Scholarship","amount_min","NULL","300"
"irdp-scholarship","irdp-scholarship","IRDP Scholarship","amount_description","NULL","Financial assistance ranges from ₹300 to ₹1,200 per year depending on the gender and course level of the student."
"goa-dayanand-social-security-scheme-students","goa-dayanand-social-security-scheme-students","Goa Dayanand Social Security Scheme (Students)","amount_annual","NULL","24000"
"goa-dayanand-social-security-scheme-students","goa-dayanand-social-security-scheme-students","Goa Dayanand Social Security Scheme (Students)","amount_min","NULL","24000"
"goa-dayanand-social-security-scheme-students","goa-dayanand-social-security-scheme-students","Goa Dayanand Social Security Scheme (Students)","amount_description","NULL","Monthly financial support of ₹2,000 (total ₹24,000 per annum) disbursed directly via DBT."
"meghalaya-merit-scholarship","meghalaya-merit-scholarship","Meghalaya Merit Scholarship","amount_annual","NULL","3600"
"meghalaya-merit-scholarship","meghalaya-merit-scholarship","Meghalaya Merit Scholarship","amount_min","NULL","1200"
"meghalaya-merit-scholarship","meghalaya-merit-scholarship","Meghalaya Merit Scholarship","amount_description","NULL","Scholarship stipend ranges from ₹100 to ₹300 per month (total ₹1,200 to ₹3,600 per year) depending on the stage of education."
"tripura-state-merit-scholarship","tripura-state-merit-scholarship","Tripura State Merit Scholarship","amount_annual","NULL","6000"
"tripura-state-merit-scholarship","tripura-state-merit-scholarship","Tripura State Merit Scholarship","amount_min","NULL","1200"
"tripura-state-merit-scholarship","tripura-state-merit-scholarship","Tripura State Merit Scholarship","amount_description","NULL","Financial assistance ranges from ₹100 to ₹500 per month (total ₹1,200 to ₹6,000 per year) based on merit ranking and course stage."
"sikkim-state-merit-scholarship","sikkim-state-merit-scholarship","Sikkim State Merit Scholarship","amount_annual","NULL","5000"
"sikkim-state-merit-scholarship","sikkim-state-merit-scholarship","Sikkim State Merit Scholarship","amount_min","NULL","3000"
"sikkim-state-merit-scholarship","sikkim-state-merit-scholarship","Sikkim State Merit Scholarship","amount_description","NULL","Merit scholarship assistance of ₹3,000 to ₹5,000 per year for students pursuing higher education."
"arunachal-pradesh-state-merit-scholarship","arunachal-pradesh-state-merit-scholarship","Arunachal Pradesh State Merit Scholarship","amount_annual","NULL","6000"
"arunachal-pradesh-state-merit-scholarship","arunachal-pradesh-state-merit-scholarship","Arunachal Pradesh State Merit Scholarship","amount_min","NULL","3000"
"arunachal-pradesh-state-merit-scholarship","arunachal-pradesh-state-merit-scholarship","Arunachal Pradesh State Merit Scholarship","amount_description","NULL","Merit stipend of up to ₹6,000 per year depending on the course stream and category of study."
"ladakh-ut-merit-scholarship","ladakh-ut-merit-scholarship","Ladakh UT Merit Scholarship","amount_annual","NULL","10000"
"ladakh-ut-merit-scholarship","ladakh-ut-merit-scholarship","Ladakh UT Merit Scholarship","amount_min","NULL","5000"
"ladakh-ut-merit-scholarship","ladakh-ut-merit-scholarship","Ladakh UT Merit Scholarship","amount_description","NULL","Financial grant of up to ₹10,000 per year depending on course level and category."
"andaman-nicobar-administration-merit-scholarship","andaman-nicobar-administration-merit-scholarship","Andaman & Nicobar Administration Merit Scholarship","amount_annual","NULL","12000"
"andaman-nicobar-administration-merit-scholarship","andaman-nicobar-administration-merit-scholarship","Andaman & Nicobar Administration Merit Scholarship","amount_min","NULL","5000"
"andaman-nicobar-administration-merit-scholarship","andaman-nicobar-administration-merit-scholarship","Andaman & Nicobar Administration Merit Scholarship","amount_description","NULL","Merit scholarship assistance ranging from ₹5,000 to ₹12,000 per year for resident students of Andaman and Nicobar Islands."
"infosys-foundation-fellowship-select-programs","infosys-foundation-fellowship-select-programs","Infosys Foundation Fellowship (select programs)","amount_annual","NULL","420000"
"infosys-foundation-fellowship-select-programs","infosys-foundation-fellowship-select-programs","Infosys Foundation Fellowship (select programs)","amount_min","NULL","300000"
"infosys-foundation-fellowship-select-programs","infosys-foundation-fellowship-select-programs","Infosys Foundation Fellowship (select programs)","amount_description","NULL","Stipend of ₹25,000 to ₹35,000 per month (total ₹3.0 Lakh to ₹4.2 Lakh per year) for selected PhD scholars and researchers."
"siemens-scholarship-program","siemens-scholarship-program","Siemens Scholarship Program","amount_annual","NULL","120000"
"siemens-scholarship-program","siemens-scholarship-program","Siemens Scholarship Program","amount_min","NULL","20000"
"siemens-scholarship-program","siemens-scholarship-program","Siemens Scholarship Program","amount_description","NULL","Reimbursement of tuition fees (up to ₹1 Lakh per year) plus an additional allowance of ₹20,000 per year for books, stationery, and hostel/living expenses."
"godrej-scholarship-csr-initiatives","godrej-scholarship-csr-initiatives","Godrej Scholarship (CSR Initiatives)","amount_annual","NULL","50000"
"godrej-scholarship-csr-initiatives","godrej-scholarship-csr-initiatives","Godrej Scholarship (CSR Initiatives)","amount_min","NULL","10000"
"godrej-scholarship-csr-initiatives","godrej-scholarship-csr-initiatives","Godrej Scholarship (CSR Initiatives)","amount_description","NULL","Financial assistance of ₹10,000 to ₹50,000 per year targeting students from underprivileged families."
"bosch-csr-scholarship","bosch-csr-scholarship","Bosch CSR Scholarship","amount_annual","NULL","40000"
"bosch-csr-scholarship","bosch-csr-scholarship","Bosch CSR Scholarship","amount_min","NULL","10000"
"bosch-csr-scholarship","bosch-csr-scholarship","Bosch CSR Scholarship","amount_description","NULL","Financial aid ranging from ₹10,000 to ₹40,000 per year for ITI, diploma, and undergraduate engineering students."
"acumen-india-fellowship","acumen-india-fellowship","Acumen India Fellowship","amount_annual","NULL","0"
"acumen-india-fellowship","acumen-india-fellowship","Acumen India Fellowship","amount_min","NULL","0"
"acumen-india-fellowship","acumen-india-fellowship","Acumen India Fellowship","amount_description","NULL","Fully funded fellowship covering all seminar fees, lodging, meals, and programmatic travel. No direct cash stipends are paid to fellows."
"trti-maharashtra-2026","trti-scholarship-maharashtra-st","TRTI Scholarship 2026 (Maharashtra ST)","deadline","Varies by scheme",""
"sc_corp_jindal_001","sitaram-jindal-foundation-scholarship","Sitaram Jindal Foundation Scholarship 2026","deadline","Typically September-October",""
"sc_corp_infosys_001","infosys-foundation-stem-stars-scholarship-program","Infosys Foundation STEM Stars Scholarship Program 2026","deadline","Typically announced annually",""
"13","green-passage-scheme-higher-education-odisha","Green Passage Scheme - Higher Education (Odisha)","deadline","Check Portal",""
