ID,Slug,Title,Provider Type,Status,Is Legacy,Issues Count,Issues List
fd4177dc-45cf-4b65-bf5d-fb1c1898f0d6,knight-hennessy-scholars-program,"Knight-Hennessy Scholars Program",University,Active,No,1,"Missing Min Amount"
646472aa-1e16-44ca-a215-d9b4eedb7cca,stanford-gsb-need-based-fellowships,"Stanford GSB Need-Based Fellowships",University,Active,No,1,"Missing Min Amount"
2049c5db-fa97-4bc1-adb7-4bc4916b81a0,hubert-h-humphrey-fellowship-program,"Hubert H. Humphrey Fellowship Program",Study Abroad,Active,No,1,"Missing Min Amount"
5d0f7e68-2ac6-4a13-a0a5-792a25e66028,erasmus-mundus-joint-masters-scholarships,"Erasmus Mundus Joint Masters Scholarships",Study Abroad,Active,No,1,"Missing Min Amount"
ab9b06ca-537d-4a67-bc6b-4e03d15cf8c9,marie-skodowska-curie-actions-msca-doctoral-networks,"Marie Skłodowska-Curie Actions (MSCA) Doctoral Networks",Study Abroad,Active,No,1,"Missing Min Amount"
a3fb8e72-603a-4e9e-b53f-ee039b277a88,eiffel-excellence-scholarship-program,"Eiffel Excellence Scholarship Program",Study Abroad,Active,No,1,"Missing Min Amount"
f44ff025-f194-452e-9051-0a2694edf368,australian-government-research-training-program-rtp-scholarships,"Australian Government Research Training Program (RTP) Scholarships",Study Abroad,Active,No,1,"Invalid Apply URL format: ""Applications for RTP Scholarships are made directly to the participating Australian universities, not through the Department of Education. There is no single application portal for all RTP scholarships. Therefore, you must visit the official website of your chosen university(s) and apply through their postgraduate research admissions or scholarship portal."""
ddf28584-2a65-4f13-977a-99fab912175b,australia-awards-scholarships,"Australia Awards Scholarships",Study Abroad,Active,No,1,"Missing Min Amount"
97fd8fb8-0544-4749-ab54-0e7502818380,destination-australia-scholarship,"Destination Australia Scholarship",Study Abroad,Active,No,1,"Invalid Apply URL format: ""Applications are submitted through the Online Australia Scholarships Information System (OASIS). Applicants should register on the OASIS portal to begin. Specific country profiles on the Australia Awards website provide direct links and additional country-specific requirements."""
00268a9b-962d-4404-9183-c969777d2eea,university-of-melbourne-graduate-research-scholarship,"University of Melbourne Graduate Research Scholarship",University,Active,No,1,"Missing Min Amount"
14baf871-7a2f-40f3-ba84-da8a1c8381ac,columbia-university-graduate-fellowships,"Columbia University Graduate Fellowships",University,Active,No,1,"Missing Min Amount"
1ca0f2a0-4249-4bc2-8bd1-96f47e4de6a3,princeton-university-graduate-fellowships,"Princeton University Graduate Fellowships",University,Active,No,1,"Missing Min Amount"
71b921f6-5751-43d7-9f78-57d18202a979,duke-fuqua-mba-scholarships,"Duke Fuqua MBA Scholarships",University,Active,No,1,"Missing Min Amount"
1104db04-a8cf-46fe-8e0a-a971ac42e002,rotary-peace-fellowships,"Rotary Peace Fellowships",Study Abroad,Active,No,1,"Missing Min Amount"
832852dc-ad2b-4cf1-b3e9-c363f9bd6652,joint-japan-world-bank-graduate-scholarships,"Joint Japan World Bank Graduate Scholarships",Study Abroad,Active,No,1,"Missing Min Amount"
986b69f9-523c-4b09-aa51-caed65c71bda,cambridge-trust-scholarships,"Cambridge Trust Scholarships",University,Active,No,1,"Missing Min Amount"
d707054e-2eae-45e0-9f41-1ce432ddaf35,ucl-global-major-scholarships,"UCL Global Major Scholarships",University,Active,No,1,"Missing Min Amount"
e00886d9-176b-4792-a474-9a4b6345732d,imperial-college-presidents-phd-scholarships,"Imperial College President's PhD Scholarships",University,Active,No,1,"Old Year Reference (e.g. 2024 or 2025 in title or description)"
ae7be647-5594-4bbb-ad48-b06ea15b9707,kings-college-london-international-scholarships,"King's College London International Scholarships",University,Active,No,1,"Missing Min Amount"
17b57a94-c0f3-4a05-8e13-4c02caeb6aeb,university-of-manchester-global-source-scholarships,"University of Manchester Global Source Scholarships",University,Active,No,1,"Missing Min Amount"
9d865caa-9bff-4e1b-bdea-27b58510e78f,warwick-chancellors-international-scholarships,"Warwick Chancellor's International Scholarships",University,Active,No,1,"Missing Min Amount"
2ec3cd05-ea7e-49b8-ad64-4fcdce594e98,glasgow-international-leadership-scholarships,"Glasgow International Leadership Scholarships",University,Active,No,1,"Missing Min Amount"
098bb700-09cf-4b36-8aa8-d907a9085766,commonwealth-shared-scholarships,"Commonwealth Shared Scholarships",Study Abroad,Active,No,1,"Missing Min Amount"
07eaac42-25a5-4878-bca2-0f4311fcc377,british-council-scholarships-for-women-in-stem,"British Council Scholarships for Women in STEM",Study Abroad,Active,No,1,"Missing Min Amount"
186a5b09-1ca1-4c04-8f0d-13d8ca125f14,mccall-macbain-scholarships,"McCall MacBain Scholarships",University,Active,No,1,"Missing Min Amount"
32fe6eb9-4d49-4d24-b55d-c2ca696437df,ontario-graduate-scholarship,"Ontario Graduate Scholarship",Study Abroad,Active,No,1,"Invalid Apply URL format: ""Applicants must apply for the OGS directly through the graduate studies office of the Ontario university where they intend to register. Each university has its own application procedures, forms, and deadlines. For example, some universities may use online application portals (like MachForms mentioned by York University), while others might accept PDF applications (like Carleton University). It is crucial to check the specific university's graduate awards website for their 2026-2027 OGS application details and deadlines."""
77a3b065-1eaf-45d8-acef-e176719c75d3,heidelberg-university-graduate-fellowships,"Heidelberg University Graduate Fellowships",University,Active,No,1,"Missing Min Amount"
ecf1d3bc-f43d-4cb2-9116-a559ccdf1ed2,humboldt-research-fellowships,"Humboldt Research Fellowships",Study Abroad,Active,No,1,"Missing Min Amount"
1480ed3b-45e4-419e-9890-f3a5cb9c2a87,monash-international-leadership-scholarships,"Monash International Leadership Scholarships",University,Active,No,1,"Missing Min Amount"
1e415cef-570b-4243-9981-6a9288ff642f,adelaide-global-academic-excellence-scholarships,"Adelaide Global Academic Excellence Scholarships",University,Active,No,1,"Missing Min Amount"
