Top pages,Clicks,Impressions,CTR,Position
https://www.indiascholarships.in/scholarships/mp-gaon-ki-beti-yojana,83,6527,1.27%,5.91
https://www.indiascholarships.in/scholarships/telangana-postmatric-sc,82,12040,0.68%,5.57
https://www.indiascholarships.in/scholarships-for/st,81,8908,0.91%,7.47
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-persons-with-disabilities-udid-karnataka,81,4264,1.9%,5.48
https://www.indiascholarships.in/scholarships-for/category-3b,80,7067,1.13%,7.13
https://www.indiascholarships.in/scholarships/andhra-pradesh-postmatric-bc,80,6591,1.21%,6.59
https://www.indiascholarships.in/scholarships-level/post-graduation-pg,80,4362,1.83%,8.86
https://www.indiascholarships.in/scholarships/aikyashree-merit-cum-means-scholarship-for-minorities-west-bengal,76,6594,1.15%,6.05
https://www.indiascholarships.in/scholarships/gopabandhu-sikhya-sahayata-yojana-odisha,75,11594,0.65%,6.22
https://www.indiascholarships.in/scholarships-in/haryana,74,8206,0.9%,7.15
https://www.indiascholarships.in/scholarships/dr-ambedkar-medhavi-chhattar-sansodhit-yojana,72,12536,0.57%,5.89
https://www.indiascholarships.in/scholarships-by-course/commerce,72,5362,1.34%,5.69
https://www.indiascholarships.in/scholarships-in/gujarat,69,9570,0.72%,4.38
https://www.indiascholarships.in/scholarships/sanchi-honnamma-scholarship-karnataka,68,6037,1.13%,4.94
https://www.indiascholarships.in/scholarships/pre-matric-scholarship-for-sc-students-odisha,67,6307,1.06%,5.22
https://www.indiascholarships.in/scholarships-by-course/agriculture,65,3954,1.64%,5.35
https://www.indiascholarships.in/scholarships-in/telangana,63,6528,0.97%,7.62
https://www.indiascholarships.in/scholarships/sikshashree-scholarship-scheme-west-bengal,63,2901,2.17%,4.47
https://www.indiascholarships.in/scholarships/pmss-for-capfs-and-assam-rifles,61,9320,0.65%,6.58
https://www.indiascholarships.in/scholarships-for/oec,61,4139,1.47%,6.82
https://www.indiascholarships.in/scholarships/nmms-scholarship-karnataka,60,8449,0.71%,6.92
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-st-students-odisha/renewal-process,60,1659,3.62%,4.69
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-sc-students-odisha/apply-online,60,1639,3.66%,4.31
